"Title","Author","Price","Genre","Stock","Status","Condition","Format","Special Feature","Synopsis","ISBN","Publisher"
"Party Crasher, The","Kinsella, Sophie","120.0","Fiction / General / Fiction / Humorous / General / Fiction / Romance / Contemporary / Fiction / Romance / Romantic Comedy / Fiction / Romance / Clean & Wholesome / Fiction / Coming of Age / Fiction / Women / Fiction / Family Life / Marriage & Divorce / Fiction / Family Life / Siblings","","","","","","Effie's still not over her parents splitting up a year ago. Her dad and his new girlfriend are posting their PDAs all over Instagram - and no one should have to deal with photos of their dad with the hashtags #viagraworks and #sexinyoursixties. Now they're selling the beloved family home and holding a 'house-cooling' party. When Effie receives only a last-minute 'anti-invitation', she decides to give it a miss. Until she remembers her precious Russian dolls, safely tucked away up a chimney. She'll have to go back for them - but not as a guest. She'll just creep in, grab the dolls and make a swift exit. No one will know she was ever there. Of course, nothing goes to plan. Not only does Effie bump into her ex-boyfriend (who she's very much not over), she can't find the dolls. And as she secretly clambers around dusty attics, hides under tables and mournfully eyes up the dessert table, she discovers unexpected truths about her family - and even about herself. With time (and hiding places) running out, Effie starts to wonder if she'd be better off simply crashing the party. Perhaps that's the only way to find out what's really going on with her family...","'9781529176889","Transworld Publishers Limited"
"Surprise Me","Kinsella, Sophie","160.0","Fiction / General / Fiction / Humorous / General / Fiction / Romance / Contemporary / Fiction / Romance / Romantic Comedy / Fiction / Women / Fiction / Family Life / General","","","","","","After being together for ten years, Sylvie and Dan have all the trimmings of a happy life and marriage. However, a trip to the doctor projects they will live another 68 years together and panic sets in. They never expected ""until death do us part"" to mean seven decades. In the name of marriage survival, they quickly concoct a plan to keep their relationship fresh and exciting. But in their pursuit to execute Project Surprise Me, mishaps arise and secrets are uncovered that start to threaten the very foundation of their unshakable bond. When a scandal from the past is revealed that question some important untold truths, they begin to wonder if they ever really knew each other after all.","'9781784160432","Transworld Publishers Limited"
"Christmas Shopaholic","Kinsella, Sophie","75.0","Fiction / General / Fiction / Humorous / General / Fiction / Romance / General / Fiction / Romance / Contemporary / Fiction / Romance / New Adult / Fiction / Romance / Romantic Comedy / Fiction / Christian / General / Fiction / Women / Fiction / Family Life / General / Fiction / Family Life / Marriage & Divorce / Fiction / Holidays / Fiction / Friendship","","","","","","Celebrate Christmas with the ultimate Shopaholic! A Sunday Times bestseller. The brilliant laugh-out-loud festive novel from the Number One bestselling author. Becky Brandon (née Bloomwood) adores Christmas. It's always the same - Mum and Dad hosting, carols playing, Mum pretending she made the Christmas pudding, and the next-door neighbours coming round for sherry in their terrible festive jumpers. And now it's even easier with online bargain-shopping sites - if you spend enough you even get free delivery. Sorted! But this year looks set to be different. Unable to resist the draw of craft beer and smashed avocado, Becky's parents are moving to ultra-trendy Shoreditch and have asked Becky if she'll host Christmas this year. What could possibly go wrong? With sister Jess demanding a vegan turkey, husband Luke determined that he just wants aftershave again, and little Minnie insisting on a very specific picnic hamper - surely Becky can manage all this, as well as the surprise appearance of an old boyfriend and his pushy new girlfriend, whose motives are far from clear . . . Will chaos ensue, or will Becky manage to bring comfort and joy to Christmas? ***** EVERYBODY LOVES CHRISTMAS SHOPAHOLIC: ***** 'Becky and Christmas is just the perfect combination, and this book is funnier and more loveable than ever' Jenny Colgan 'A perfect Christmas read, laced with humor, with plenty to empathise with. A joyful, funny novel' Catherine Alliott 'As sparkly as a Christmas tree and full of festive joy, this one's a total cracker' Lucy Diamond 'A brilliant, laugh-out-loud read' Woman's Weekly","'9781784164874","Transworld Publishers Limited"
"Ready Or Not","Wynne-Jones, Grace","120.0","Fiction / General / Fiction / Romance / General / Fiction / Romance / Contemporary / Fiction / Women","","","","","","Four star-crossed people and a match-making mother spice up a summer holiday.","'9781905170654","Accent Press Limited"
"Meet Me in Tahiti","Toffolo, Georgia","140.0","Fiction / Media Tie-In / Fiction / Romance / Contemporary / Fiction / Romance / Holiday / Fiction / Women / Travel / Special Interest / Disabilities","","","","","","Where there's always a second chance at first love...","'9780008375911","Harlequin Mills & Boon, Limited"
"Gift for You, A","Scanlan, Patricia","150.0","Fiction / General / Fiction / Short Stories (single author)","","","","","","","'9781471150746","Simon & Schuster, Limited"
"Finding Love at the Christmas Market","Thomas, Jo","75.0","Fiction / General / Fiction / Romance / General / Fiction / Romance / Contemporary / Fiction / Romance / Holiday / Fiction / Women / Fiction / Family Life / Marriage & Divorce / Fiction / Holidays / Fiction / Small Town & Rural","","","","","","Cosy up with the new Christmas book from best-selling author Jo Thomas Residential-home caterer Connie has had one online-dating disaster too many. Hurt in the past and with her son to consider, now she's feeling hesitant. Then one of Connie's residents sets her up on a date at a beautiful German Christmas market - with the promise she'll take a mini-bus full of pensioners with her... Amongst the twinkling lights and smell of warm gingerbread in the old market square, Connie heads off on her date with a check-list of potential partner must-haves. Baker Henrich ticks all the boxes, but when Connie meets Henrich's rival William, she starts to wonder if ticking boxes is the answer. Will Connie's wish for love this Christmas come true, and if so - with who? Praise for Jo Thomas: 'Magically romantic...best read in front of a crackling log fire' Milly Johnson 'The characters went straight to my heart' Katie Fforde 'A sparkling, heartwarming hug of a story' Miranda Dickinson 'Like the very best kind of holiday' Lucy Diamond","'9780552176859","Transworld Publishers Limited"
"Special Cornish Christmas, A","Ashley, Phillipa","99.0","Fiction / General / Fiction / Romance / Contemporary / Fiction / Romance / Holiday / Fiction / Women / Fiction / Small Town & Rural / Fiction / Friendship","","","","","","","'9780008371661","HarperCollins Publishers"
"Christmas By Candlelight","Swan, Karen","75.0","Fiction / General / Fiction / Humorous / General / Fiction / Romance / General / Fiction / Romance / Contemporary / Fiction / Romance / Holiday / Fiction / Women","","","","","","Christmas by Candlelight, is the unmissable cosy and escapist festive story from the Sunday Times bestselling author Karen Swan.","'9781529084290","Pan Macmillan"
"Mistletoe and Magic for the Cornish Midwife","Bartlett, Jo","99.0","","","","","","","","'9781785137938","Boldwood Books"
